date,id,system_time_start
2023-04-06,20230406T183921_20230406T183958_T11TMG_2023_04_01,2023-04-06 18:52:41.976
2023-04-06,20230406T183921_20230406T183958_T11TMG_2023_04_02,2023-04-06 18:52:41.976
2023-04-06,20230406T183921_20230406T183958_T11TMG_2023_04_03,2023-04-06 18:52:41.976
2023-04-06,20230406T183921_20230406T183958_T11TMG_2023_04_04,2023-04-06 18:52:41.976
2023-04-06,20230406T183921_20230406T183958_T11TMG_2023_04_05,2023-04-06 18:52:41.976
2023-04-06,20230406T183921_20230406T183958_T11TMG_2023_04_06,2023-04-06 18:52:41.976
2023-04-06,20230406T183921_20230406T183958_T11TMG_2023_04_07,2023-04-06 18:52:41.976
2023-04-06,20230406T183921_20230406T183958_T11TMG_2023_04_08,2023-04-06 18:52:41.976
2023-04-06,20230406T183921_20230406T183958_T11TMG_2023_04_09,2023-04-06 18:52:41.976
2023-04-06,20230406T183921_20230406T183958_T11TMG_2023_04_10,2023-04-06 18:52:41.976
2023-04-06,20230406T183921_20230406T183958_T11TMG_2023_04_11,2023-04-06 18:52:41.976
2023-04-06,20230406T183921_20230406T183958_T11TMG_2023_04_12,2023-04-06 18:52:41.976
2023-04-06,20230406T183921_20230406T183958_T11TMG_2023_04_13,2023-04-06 18:52:41.976
2023-04-06,20230406T183921_20230406T183958_T11TMG_2023_04_14,2023-04-06 18:52:41.976
2023-04-06,20230406T183921_20230406T183958_T11TMG_2023_04_15,2023-04-06 18:52:41.976
2023-04-06,20230406T183921_20230406T183958_T11TMG_2023_04_16,2023-04-06 18:52:41.976
2023-04-06,20230406T183921_20230406T183958_T11TMG_2023_04_17,2023-04-06 18:52:41.976
2023-04-06,20230406T183921_20230406T183958_T11TMG_2023_04_18,2023-04-06 18:52:41.976
2023-04-06,20230406T183921_20230406T183958_T11TMG_2023_04_19,2023-04-06 18:52:41.976
2023-04-06,20230406T183921_20230406T183958_T11TMG_2023_04_20,2023-04-06 18:52:41.976
2023-04-06,20230406T183921_20230406T183958_T11TMG_2023_04_21,2023-04-06 18:52:41.976
2023-04-06,20230406T183921_20230406T183958_T11TMG_2023_04_22,2023-04-06 18:52:41.976
2023-04-06,20230406T183921_20230406T183958_T11TMG_2023_04_23,2023-04-06 18:52:41.976
2023-04-06,20230406T183921_20230406T183958_T11TMG_2023_04_24,2023-04-06 18:52:41.976
2023-04-06,20230406T183921_20230406T183958_T11TMG_2023_04_25,2023-04-06 18:52:41.976
2023-04-06,20230406T183921_20230406T183958_T11TMG_2023_04_26,2023-04-06 18:52:41.976
2023-04-06,20230406T183921_20230406T183958_T11TMG_2023_04_27,2023-04-06 18:52:41.976
2023-04-06,20230406T183921_20230406T183958_T11TMG_2023_04_28,2023-04-06 18:52:41.976
2023-04-06,20230406T183921_20230406T183958_T11TMG_2023_04_29,2023-04-06 18:52:41.976
2023-04-06,20230406T183921_20230406T183958_T11TNG_2023_04_01,2023-04-06 18:52:39.639
2023-04-06,20230406T183921_20230406T183958_T11TNG_2023_04_02,2023-04-06 18:52:39.639
2023-04-06,20230406T183921_20230406T183958_T11TNG_2023_04_03,2023-04-06 18:52:39.639
